name,category,subcategory
"numpy.ma.vander","creation","existing_data"
"numpy.ma.var","statistics",""
"numpy.ma.vstack","manipulation","existing_data"
"numpy.ma.where","indexing",""
"numpy.ma.zeros","creation",""
"numpy.mask_indices","",""
"numpy.mat","creation","existing_data"
"numpy.matlib.empty","",""
"numpy.matlib.eye","",""
"numpy.matlib.identity","",""
"numpy.matlib.ones","",""
"numpy.matlib.rand","",""
"numpy.matlib.randn","",""
"numpy.matlib.repmat","",""
"numpy.matlib.zeros","",""
"numpy.matmul","linalg",""
"numpy.maximum","statistics",""
"numpy.maximum_sctype","",""
"numpy.may_share_memory","",""
"numpy.mean","statistics",""
"numpy.median","statistics",""
"numpy.meshgrid","creation","range"
"numpy.min_scalar_type","",""
"numpy.minimum","statistics",""
"numpy.mintypecode","",""
"numpy.mirr","finance",""
"numpy.mod","math","special"
"numpy.modf","math","special"
"numpy.moveaxis","manipulation","moving_axes"
"numpy.msort","sorting",""
"numpy.multiply","math","arithmetic"
"numpy.nan_to_num","",""
"numpy.nanargmax","statistics",""
"numpy.nanargmin","statistics",""
"numpy.nancumprod","math","arithmetic"
"numpy.nancumsum","math","arithmetic"
"numpy.nanmax","statistics",""
"numpy.nanmean","statistics",""
"numpy.nanmedian","statistics",""
"numpy.nanmin","statistics",""
"numpy.nanpercentile","statistics",""
"numpy.nanprod","math","arithmetic"
"numpy.nanquantile","statistics",""
"numpy.nanstd","statistics",""
"numpy.nansum","math","arithmetic"
"numpy.nanvar","statistics",""
"numpy.negative","math","arithmetic"
"numpy.nested_iters","",""
"numpy.nextafter","math","special"
"numpy.nonzero","indexing",""
"numpy.not_equal","logical",""
"numpy.nper","finance",""
"numpy.npv","finance",""
"numpy.obj2sctype","",""
"numpy.ones","creation",""
"numpy.ones_like","creation",""
"numpy.outer","linalg",""
"numpy.packbits","",""
"numpy.pad","manipulation","changing_shape"
"numpy.partition","sorting",""
"numpy.percentile","statistics",""
"numpy.piecewise","",""
"numpy.place","manipulation",""
"numpy.pmt","finance",""
"numpy.poly","polynomials",""
"numpy.polyadd","polynomials",""
"numpy.polyder","polynomials",""
"numpy.polydiv","polynomials",""
"numpy.polyfit","polynomials",""
"numpy.polyint","polynomials",""
"numpy.polymul","polynomials",""
"numpy.polynomial.chebyshev.cheb2poly","polynomials",""
"numpy.polynomial.chebyshev.chebadd","polynomials",""
"numpy.polynomial.chebyshev.chebcompanion","polynomials",""
"numpy.polynomial.chebyshev.chebder","polynomials",""
"numpy.polynomial.chebyshev.chebdiv","polynomials",""
"numpy.polynomial.chebyshev.chebfit","polynomials",""
"numpy.polynomial.chebyshev.chebfromroots","polynomials",""
"numpy.polynomial.chebyshev.chebgauss","polynomials",""
"numpy.polynomial.chebyshev.chebgrid2d","polynomials",""
"numpy.polynomial.chebyshev.chebgrid3d","polynomials",""
"numpy.polynomial.chebyshev.chebint","polynomials",""
"numpy.polynomial.chebyshev.chebline","polynomials",""
"numpy.polynomial.chebyshev.chebmul","polynomials",""
"numpy.polynomial.chebyshev.chebmulx","polynomials",""
"numpy.polynomial.chebyshev.chebpow","polynomials",""
"numpy.polynomial.chebyshev.chebroots","polynomials",""
"numpy.polynomial.chebyshev.chebsub","polynomials",""
"numpy.polynomial.chebyshev.chebtrim","polynomials",""
"numpy.polynomial.chebyshev.chebval","polynomials",""
"numpy.polynomial.chebyshev.chebval2d","polynomials",""
"numpy.polynomial.chebyshev.chebval3d","polynomials",""
"numpy.polynomial.chebyshev.chebvander","polynomials",""
"numpy.polynomial.chebyshev.chebvander2d","polynomials",""
"numpy.polynomial.chebyshev.chebvander3d","polynomials",""
"numpy.polynomial.chebyshev.chebweight","polynomials",""
"numpy.polynomial.chebyshev.poly2cheb","polynomials",""
"numpy.polynomial.hermite.herm2poly","polynomials",""
"numpy.polynomial.hermite.hermadd","polynomials",""
"numpy.polynomial.hermite.hermcompanion","polynomials",""
"numpy.polynomial.hermite.hermder","polynomials",""
"numpy.polynomial.hermite.hermdiv","polynomials",""
"numpy.polynomial.hermite.hermfit","polynomials",""
"numpy.polynomial.hermite.hermfromroots","polynomials",""
"numpy.polynomial.hermite.hermgauss","polynomials",""
"numpy.polynomial.hermite.hermgrid2d","polynomials",""
"numpy.polynomial.hermite.hermgrid3d","polynomials",""
"numpy.polynomial.hermite.hermint","polynomials",""
"numpy.polynomial.hermite.hermline","polynomials",""
"numpy.polynomial.hermite.hermmul","polynomials",""
"numpy.polynomial.hermite.hermmulx","polynomials",""
"numpy.polynomial.hermite.hermpow","polynomials",""
"numpy.polynomial.hermite.hermroots","polynomials",""
"numpy.polynomial.hermite.hermsub","polynomials",""
"numpy.polynomial.hermite.hermtrim","polynomials",""
"numpy.polynomial.hermite.hermval","polynomials",""
"numpy.polynomial.hermite.hermval2d","polynomials",""
"numpy.polynomial.hermite.hermval3d","polynomials",""
"numpy.polynomial.hermite.hermvander","polynomials",""
"numpy.polynomial.hermite.hermvander2d","polynomials",""
"numpy.polynomial.hermite.hermvander3d","polynomials",""
"numpy.polynomial.hermite.hermweight","polynomials",""
"numpy.polynomial.hermite.poly2herm","polynomials",""
"numpy.polynomial.hermite_e.herme2poly","polynomials",""
"numpy.polynomial.hermite_e.hermeadd","polynomials",""
"numpy.polynomial.hermite_e.hermecompanion","polynomials",""
"numpy.polynomial.hermite_e.hermeder","polynomials",""
"numpy.polynomial.hermite_e.hermediv","polynomials",""
"numpy.polynomial.hermite_e.hermefit","polynomials",""
"numpy.polynomial.hermite_e.hermefromroots","polynomials",""
"numpy.polynomial.hermite_e.hermegauss","polynomials",""
"numpy.polynomial.hermite_e.hermegrid2d","polynomials",""
"numpy.polynomial.hermite_e.hermegrid3d","polynomials",""
"numpy.polynomial.hermite_e.hermeint","polynomials",""
"numpy.polynomial.hermite_e.hermeline","polynomials",""
"numpy.polynomial.hermite_e.hermemul","polynomials",""
"numpy.polynomial.hermite_e.hermemulx","polynomials",""
"numpy.polynomial.hermite_e.hermepow","polynomials",""
"numpy.polynomial.hermite_e.hermeroots","polynomials",""
"numpy.polynomial.hermite_e.hermesub","polynomials",""
"numpy.polynomial.hermite_e.hermetrim","polynomials",""
"numpy.polynomial.hermite_e.hermeval","polynomials",""
"numpy.polynomial.hermite_e.hermeval2d","polynomials",""
"numpy.polynomial.hermite_e.hermeval3d","polynomials",""
"numpy.polynomial.hermite_e.hermevander","polynomials",""
"numpy.polynomial.hermite_e.hermevander2d","polynomials",""
"numpy.polynomial.hermite_e.hermevander3d","polynomials",""
"numpy.polynomial.hermite_e.hermeweight","polynomials",""
"numpy.polynomial.hermite_e.poly2herme","polynomials",""
"numpy.polynomial.laguerre.lag2poly","polynomials",""
"numpy.polynomial.laguerre.lagadd","polynomials",""
"numpy.polynomial.laguerre.lagcompanion","polynomials",""
"numpy.polynomial.laguerre.lagder","polynomials",""
"numpy.polynomial.laguerre.lagdiv","polynomials",""
"numpy.polynomial.laguerre.lagfit","polynomials",""
"numpy.polynomial.laguerre.lagfromroots","polynomials",""
"numpy.polynomial.laguerre.laggauss","polynomials",""
"numpy.polynomial.laguerre.laggrid2d","polynomials",""
"numpy.polynomial.laguerre.laggrid3d","polynomials",""
"numpy.polynomial.laguerre.lagint","polynomials",""
"numpy.polynomial.laguerre.lagline","polynomials",""
"numpy.polynomial.laguerre.lagmul","polynomials",""
"numpy.polynomial.laguerre.lagmulx","polynomials",""
"numpy.polynomial.laguerre.lagpow","polynomials",""
"numpy.polynomial.laguerre.lagroots","polynomials",""
"numpy.polynomial.laguerre.lagsub","polynomials",""
"numpy.polynomial.laguerre.lagtrim","polynomials",""
"numpy.polynomial.laguerre.lagval","polynomials",""
"numpy.polynomial.laguerre.lagval2d","polynomials",""
"numpy.polynomial.laguerre.lagval3d","polynomials",""
"numpy.polynomial.laguerre.lagvander","polynomials",""
"numpy.polynomial.laguerre.lagvander2d","polynomials",""
"numpy.polynomial.laguerre.lagvander3d","polynomials",""
"numpy.polynomial.laguerre.lagweight","polynomials",""
"numpy.polynomial.laguerre.poly2lag","polynomials",""
"numpy.polynomial.legendre.leg2poly","polynomials",""
"numpy.polynomial.legendre.legadd","polynomials",""
"numpy.polynomial.legendre.legcompanion","polynomials",""
"numpy.polynomial.legendre.legder","polynomials",""
"numpy.polynomial.legendre.legdiv","polynomials",""
"numpy.polynomial.legendre.legfit","polynomials",""
"numpy.polynomial.legendre.legfromroots","polynomials",""
"numpy.polynomial.legendre.leggauss","polynomials",""
"numpy.polynomial.legendre.leggrid2d","polynomials",""
"numpy.polynomial.legendre.leggrid3d","polynomials",""
"numpy.polynomial.legendre.legint","polynomials",""
"numpy.polynomial.legendre.legline","polynomials",""
"numpy.polynomial.legendre.legmul","polynomials",""
"numpy.polynomial.legendre.legmulx","polynomials",""
"numpy.polynomial.legendre.legpow","polynomials",""
"numpy.polynomial.legendre.legroots","polynomials",""
"numpy.polynomial.legendre.legsub","polynomials",""
"numpy.polynomial.legendre.legtrim","polynomials",""
"numpy.polynomial.legendre.legval","polynomials",""
"numpy.polynomial.legendre.legval2d","polynomials",""
"numpy.polynomial.legendre.legval3d","polynomials",""
"numpy.polynomial.legendre.legvander","polynomials",""
"numpy.polynomial.legendre.legvander2d","polynomials",""
"numpy.polynomial.legendre.legvander3d","polynomials",""
"numpy.polynomial.legendre.legweight","polynomials",""
"numpy.polynomial.legendre.poly2leg","polynomials",""
"numpy.polynomial.polynomial.polyadd","polynomials",""
"numpy.polynomial.polynomial.polycompanion","polynomials",""
"numpy.polynomial.polynomial.polyder","polynomials",""
"numpy.polynomial.polynomial.polydiv","polynomials",""
"numpy.polynomial.polynomial.polyfit","polynomials",""
"numpy.polynomial.polynomial.polyfromroots","polynomials",""
"numpy.polynomial.polynomial.polygrid2d","polynomials",""
"numpy.polynomial.polynomial.polygrid3d","polynomials",""
"numpy.polynomial.polynomial.polyint","polynomials",""
"numpy.polynomial.polynomial.polyline","polynomials",""
"numpy.polynomial.polynomial.polymul","polynomials",""
"numpy.polynomial.polynomial.polymulx","polynomials",""
"numpy.polynomial.polynomial.polypow","polynomials",""
"numpy.polynomial.polynomial.polyroots","polynomials",""
"numpy.polynomial.polynomial.polysub","polynomials",""
"numpy.polynomial.polynomial.polytrim","polynomials",""
"numpy.polynomial.polynomial.polyval","polynomials",""
"numpy.polynomial.polynomial.polyval2d","polynomials",""
"numpy.polynomial.polynomial.polyval3d","polynomials",""
"numpy.polynomial.polynomial.polyvalfromroots","polynomials",""
"numpy.polynomial.polynomial.polyvander","polynomials",""
"numpy.polynomial.polynomial.polyvander2d","polynomials",""
"numpy.polynomial.polynomial.polyvander3d","polynomials",""
"numpy.polynomial.polyutils.as_series","polynomials",""
"numpy.polynomial.polyutils.getdomain","polynomials",""
"numpy.polynomial.polyutils.mapdomain","polynomials",""
"numpy.polynomial.polyutils.mapparms","polynomials",""
"numpy.polynomial.polyutils.trimcoef","polynomials",""
"numpy.polynomial.polyutils.trimseq","polynomials",""
"numpy.polysub","polynomials",""
"numpy.polyval","polynomials",""
"numpy.positive","math","arithmetic"
"numpy.power","math","special"
"numpy.ppmt","finance",""
"numpy.printoptions","",""
"numpy.prod","math","arithmetic"
"numpy.promote_types","",""
"numpy.ptp","signal_processing",""
"numpy.put","manipulation",""
"numpy.put_along_axis","manipulation",""
"numpy.putmask","",""
"numpy.pv","finance",""
"numpy.quantile","statistics",""
"numpy.rad2deg","math","trig"
"numpy.radians","math","trig"
"numpy.random.default_rng","random",""
"numpy.random.entropy.random_entropy","random",""
"numpy.rate","finance",""
"numpy.ravel","manipulation","changing_shape"
"numpy.ravel_multi_index","manipulation","changing_shape"
"numpy.real","math","complex"
"numpy.real_if_close","math","complex"
"numpy.reciprocal","math","special"
"numpy.remainder","math","special"
"numpy.repeat","manipulation","tiling"
"numpy.require","",""
"numpy.reshape","manipulation","changing_shape"
"numpy.resize","manipulation","changing_shape"
"numpy.result_type","",""
"numpy.right_shift","binary_ops",""
"numpy.rint","math","rounding"
"numpy.roll","manipulation","moving_axes"
"numpy.rollaxis","manipulation","moving_axes"
"numpy.roots","polynomials",""
"numpy.rot90","manipulation",""
"numpy.round_","math","rounding"
"numpy.save","io",""
"numpy.savetxt","io",""
"numpy.savez","io",""
"numpy.savez_compressed","io",""
"numpy.sctype2char","",""
"numpy.searchsorted","search",""
"numpy.select","creation","existing_data"
"numpy.set_printoptions","",""
"numpy.set_string_function","",""
"numpy.setbufsize","",""
"numpy.setdiff1d","sets",""
"numpy.seterr","",""
"numpy.seterrcall","",""
"numpy.seterrobj","",""
"numpy.setxor1d","sets",""
"numpy.shares_memory","",""
"numpy.sign","math","special"
"numpy.signbit","math","special"
"numpy.sin","math","trig"
"numpy.sinc","math","trig"
"numpy.sinh","math","trig"
"numpy.sort","sorting",""
"numpy.sort_complex","sorting",""
"numpy.source","",""
"numpy.spacing","creation","range"
"numpy.split","creation","existing_data"
"numpy.sqrt","math","special"
"numpy.square","math","special"
"numpy.squeeze","manipulation","changing_shape"
"numpy.stack","manipulation","joining_arrays"
"numpy.std","statistics",""
"numpy.subtract","math","arithmetic"
"numpy.sum","math","arithmetic"
"numpy.swapaxes","manipulation","moving_axes"
"numpy.take","creation","existing_data"
"numpy.take_along_axis","creation","existing_data"
"numpy.tan","math","trig"
"numpy.tanh","math","trig"
"numpy.tensordot","linalg",""
