name,numpy
"cupy.random.laplace","numpy.random.laplace"
"cupy.random.logistic","numpy.random.logistic"
"cupy.random.lognormal","numpy.random.lognormal"
"cupy.random.logseries","numpy.random.logseries"
"cupy.random.multinomial","numpy.random.multinomial"
"cupy.random.multivariate_normal","numpy.random.multivariate_normal"
"cupy.random.negative_binomial","numpy.random.negative_binomial"
"cupy.random.noncentral_chisquare","numpy.random.noncentral_chisquare"
"cupy.random.noncentral_f","numpy.random.noncentral_f"
"cupy.random.normal","numpy.random.normal"
"cupy.random.pareto","numpy.random.pareto"
"cupy.random.permutation","numpy.random.permutation"
"cupy.random.poisson","numpy.random.poisson"
"cupy.random.power","numpy.random.power"
"cupy.random.rand","numpy.random.rand"
"cupy.random.randint","numpy.random.randint"
"cupy.random.randn","numpy.random.randn"
"cupy.random.random","numpy.random.random"
"cupy.random.random_integers","numpy.random.random_integers"
"cupy.random.random_sample","numpy.random.random_sample"
"cupy.random.ranf","numpy.random.ranf"
"cupy.random.rayleigh","numpy.random.rayleigh"
"cupy.random.sample","numpy.random.sample"
"cupy.random.seed","numpy.random.seed"
"cupy.random.set_random_state","numpy.random.set_state"
"cupy.random.shuffle","numpy.random.shuffle"
"cupy.random.standard_cauchy","numpy.random.standard_cauchy"
"cupy.random.standard_exponential","numpy.random.standard_exponential"
"cupy.random.standard_gamma","numpy.random.standard_gamma"
"cupy.random.standard_normal","numpy.random.standard_normal"
"cupy.random.standard_t","numpy.random.standard_t"
"cupy.random.triangular","numpy.random.triangular"
"cupy.random.uniform","numpy.random.uniform"
"cupy.random.vonmises","numpy.random.vonmises"
"cupy.random.wald","numpy.random.wald"
"cupy.random.weibull","numpy.random.weibull"
"cupy.random.zipf","numpy.random.zipf"
"cupy.ravel","numpy.ravel"
"cupy.ravel_multi_index","numpy.ravel_multi_index"
"cupy.real","numpy.real"
"cupy.reciprocal","numpy.reciprocal"
"cupy.remainder","numpy.remainder"
"cupy.repeat","numpy.repeat"
"cupy.require","numpy.require"
"cupy.reshape","numpy.reshape"
"cupy.resize","numpy.resize"
"cupy.result_type","numpy.result_type"
"cupy.right_shift","numpy.right_shift"
"cupy.rint","numpy.rint"
"cupy.roll","numpy.roll"
"cupy.rollaxis","numpy.rollaxis"
"cupy.roots","numpy.roots"
"cupy.rot90","numpy.rot90"
"cupy.save","numpy.save"
"cupy.savez","numpy.savez"
"cupy.savez_compressed","numpy.savez_compressed"
"cupy.searchsorted","numpy.searchsorted"
"cupy.select","numpy.select"
"cupy.shape","numpy.shape"
"cupy.show_config","numpy.show_config"
"cupy.sign","numpy.sign"
"cupy.signbit","numpy.signbit"
"cupy.sin","numpy.sin"
"cupy.sinc","numpy.sinc"
"cupy.sinh","numpy.sinh"
"cupy.sort","numpy.sort"
"cupy.sort_complex","numpy.sort_complex"
"cupy.split","numpy.split"
"cupy.sqrt","numpy.sqrt"
"cupy.square","numpy.square"
"cupy.squeeze","numpy.squeeze"
"cupy.stack","numpy.stack"
"cupy.std","numpy.std"
"cupy.subtract","numpy.subtract"
"cupy.sum","numpy.sum"
"cupy.swapaxes","numpy.swapaxes"
"cupy.take","numpy.take"
"cupy.take_along_axis","numpy.take_along_axis"
"cupy.tan","numpy.tan"
"cupy.tanh","numpy.tanh"
"cupy.tensordot","numpy.tensordot"
"cupy.tile","numpy.tile"
"cupy.trace","numpy.trace"
"cupy.transpose","numpy.transpose"
"cupy.tri","numpy.tri"
"cupy.tril","numpy.tril"
"cupy.trim_zeros","numpy.trim_zeros"
"cupy.triu","numpy.triu"
"cupy.true_divide","numpy.true_divide"
"cupy.trunc","numpy.trunc"
"cupy.unique","numpy.unique"
"cupy.unpackbits","numpy.unpackbits"
"cupy.unravel_index","numpy.unravel_index"
"cupy.unwrap","numpy.unwrap"
"cupy.var","numpy.var"
"cupy.vdot","numpy.vdot"
"cupy.vsplit","numpy.vsplit"
"cupy.vstack","numpy.vstack"
"cupy.where","numpy.where"
"cupy.who","numpy.who"
"cupy.zeros","numpy.zeros"
"cupy.zeros_like","numpy.zeros_like"
"cupyx.allow_synchronize",""
"cupyx.empty_like_pinned","numpy.empty_like"
"cupyx.empty_pinned","numpy.empty"
"cupyx.jit.rawkernel",""
"cupyx.optimizing.optimize",""
"cupyx.rsqrt",""
"cupyx.scatter_add",""
"cupyx.scatter_max",""
"cupyx.scatter_min",""
"cupyx.scipy.fft.fft",""
"cupyx.scipy.fft.fft2",""
"cupyx.scipy.fft.fftfreq",""
"cupyx.scipy.fft.fftn",""
"cupyx.scipy.fft.fftshift",""
"cupyx.scipy.fft.hfft",""
"cupyx.scipy.fft.ifft",""
"cupyx.scipy.fft.ifft2",""
"cupyx.scipy.fft.ifftn",""
"cupyx.scipy.fft.ifftshift",""
"cupyx.scipy.fft.ihfft",""
"cupyx.scipy.fft.irfft",""
"cupyx.scipy.fft.irfft2",""
"cupyx.scipy.fft.irfftn",""
"cupyx.scipy.fft.next_fast_len",""
"cupyx.scipy.fft.rfft",""
"cupyx.scipy.fft.rfft2",""
"cupyx.scipy.fft.rfftfreq",""
"cupyx.scipy.fft.rfftn",""
"cupyx.scipy.fftpack.fft",""
"cupyx.scipy.fftpack.fft2",""
"cupyx.scipy.fftpack.fftn",""
"cupyx.scipy.fftpack.get_fft_plan",""
"cupyx.scipy.fftpack.ifft",""
"cupyx.scipy.fftpack.ifft2",""
"cupyx.scipy.fftpack.ifftn",""
"cupyx.scipy.fftpack.irfft",""
"cupyx.scipy.fftpack.rfft",""
"cupyx.scipy.get_array_module",""
"cupyx.scipy.linalg.block_diag",""
"cupyx.scipy.linalg.circulant",""
"cupyx.scipy.linalg.companion",""
"cupyx.scipy.linalg.convolution_matrix",""
"cupyx.scipy.linalg.dft",""
"cupyx.scipy.linalg.fiedler",""
"cupyx.scipy.linalg.fiedler_companion",""
"cupyx.scipy.linalg.hadamard",""
"cupyx.scipy.linalg.hankel",""
"cupyx.scipy.linalg.helmert",""
"cupyx.scipy.linalg.hilbert",""
"cupyx.scipy.linalg.kron",""
"cupyx.scipy.linalg.leslie",""
"cupyx.scipy.linalg.lu",""
"cupyx.scipy.linalg.lu_factor",""
"cupyx.scipy.linalg.lu_solve",""
"cupyx.scipy.linalg.solve_triangular",""
"cupyx.scipy.linalg.toeplitz",""
"cupyx.scipy.linalg.tri",""
"cupyx.scipy.linalg.tril",""
