name,numpy
"tf.math.sigmoid",""
"tf.math.sign","numpy.sign"
"tf.math.sin","numpy.sin"
"tf.math.sinh","numpy.sinh"
"tf.math.softplus",""
"tf.math.sqrt","numpy.sqrt"
"tf.math.square","numpy.square"
"tf.math.squared_difference",""
"tf.math.subtract","numpy.subtract"
"tf.math.tan","numpy.tan"
"tf.math.tanh","numpy.tanh"
"tf.math.top_k",""
"tf.math.truediv","numpy.true_divide"
"tf.math.unsorted_segment_max",""
"tf.math.unsorted_segment_mean",""
"tf.math.unsorted_segment_min",""
"tf.math.unsorted_segment_prod",""
"tf.math.unsorted_segment_sqrt_n",""
"tf.math.unsorted_segment_sum",""
"tf.math.xdivy",""
"tf.math.xlogy",""
"tf.math.zero_fraction",""
"tf.math.zeta",""
"tf.meshgrid","numpy.meshgrid"
"tf.name_scope",""
"tf.nn.log_softmax",""
"tf.nn.softmax",""
"tf.nn.softsign",""
"tf.no_gradient",""
"tf.no_op",""
"tf.nondifferentiable_batch_function",""
"tf.norm","numpy.linalg.norm"
"tf.numpy_function",""
"tf.one_hot",""
"tf.ones","numpy.ones"
"tf.ones_initializer",""
"tf.ones_like","numpy.ones_like"
"tf.pad","numpy.pad"
"tf.parallel_stack",""
"tf.print",""
"tf.py_function",""
"tf.random.all_candidate_sampler",""
"tf.random.categorical",""
"tf.random.experimental.Generator",""
"tf.random.experimental.create_rng_state",""
"tf.random.experimental.set_global_generator",""
"tf.random.fixed_unigram_candidate_sampler",""
"tf.random.gamma",""
"tf.random.learned_unigram_candidate_sampler",""
"tf.random.log_uniform_candidate_sampler",""
"tf.random.normal",""
"tf.random.poisson",""
"tf.random.set_seed",""
"tf.random.shuffle",""
"tf.random.stateless_categorical",""
"tf.random.stateless_normal",""
"tf.random.stateless_truncated_normal",""
"tf.random.stateless_uniform",""
"tf.random.truncated_normal",""
"tf.random.uniform",""
"tf.random.uniform_candidate_sampler",""
"tf.random_normal_initializer",""
"tf.random_normal_initializer",""
"tf.random_uniform_initializer",""
"tf.random_uniform_initializer",""
"tf.range","numpy.arange"
"tf.rank","numpy.linalg.matrix_rank"
"tf.realdiv",""
"tf.recompute_grad",""
"tf.reduce_all","numpy.all"
"tf.register_tensor_conversion_function",""
"tf.repeat","numpy.repeat"
"tf.required_space_to_batch_paddings",""
"tf.reshape","numpy.reshape"
"tf.reverse","numpy.flip"
"tf.reverse_sequence",""
"tf.roll","numpy.roll"
"tf.scan",""
"tf.scatter_nd",""
"tf.searchsorted","numpy.searchsorted"
"tf.sequence_mask",""
"tf.sets.difference","numpy.setdiff1d"
"tf.sets.intersection","numpy.intersect1d"
"tf.sets.size",""
"tf.sets.union","numpy.union1d"
"tf.shape",""
"tf.shape_n",""
"tf.signal.dct",""
"tf.signal.fft","numpy.fft.fft"
"tf.signal.fft2d","numpy.fft.fft2"
"tf.signal.fft3d","numpy.fft.fftn"
"tf.signal.fftshift","numpy.fft.fftshift"
"tf.signal.frame",""
"tf.signal.hamming_window",""
"tf.signal.hann_window",""
"tf.signal.idct",""
"tf.signal.ifft","numpy.fft.ifft"
"tf.signal.ifft2d","numpy.fft.ifft2"
"tf.signal.ifft3d","numpy.fft.ifftn"
"tf.signal.ifftshift","numpy.fft.ifftshift"
"tf.signal.inverse_stft",""
"tf.signal.inverse_stft_window_fn",""
